"Developmental Stage (PRE=Preflexion,FLE=Flexion,POS=Postflexion)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scaridae,,,Scorpaenidae,,,Synodontidae,,,Labridae,,,Serranidae,,,Mullidae,,,Pomacentridae,,,Triglidae,,,Bothidae,,
14,25,4,coast,south,812.6,Formalin,0,0.003691853,0.002461236,0,0,0,0,0,0,0,0,0.001230618,0.001230618,0,0,0,0,0,0.001230618,0,0,0.007383707,0.001230618,0,0,0,0
14,25,5,coast,south,975,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001025641,0.001025641,0,0,0.001025641,0
14,25,5,coast,south,975,Formalin,0,0,0,0,0,0,0,0,0,0,0.001025641,0,0.011282051,0,0,0,0.001025641,0,0.002051282,0,0,0.01025641,0.002051282,0,0,0,0
14,75,2,coast,south,767.2,Formalin,0,0,0,0,0,0,0,0,0,0,0,0.001303441,0.007820647,0,0.001303441,0,0,0,0.002606882,0,0,0,0,0,0.001303441,0,0
14,75,3,coast,south,952.9,Ethanol,0,0,0,0,0.001049428,0,0,0,0,0,0.002098856,0.003148284,0.001049428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,75,3,coast,south,952.9,Formalin,0,0.001049428,0,0,0.001049428,0,0,0,0,0.001049428,0.001049428,0,0,0,0,0,0,0,0.003148284,0,0,0.001049428,0.001049428,0,0,0,0
15,0,1,coast,south,344.178,Ethanol,0,0,0,0,0,0,0,0,0.002905473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,coast,south,344.178,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,coast,south,493.343,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,coast,south,493.343,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,25,4,coast,south,685.7,Formalin,0,0,0,0.001458364,0,0,0,0,0,0.001458364,0.001458364,0.01166691,0,0,0,0,0,0,0,0,0,0.001458364,0,0,0,0,0.001458364
15,25,5,coast,south,715,Ethanol,0,0,0,0,0,0,0,0,0,0,0.002797203,0.005594406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002797203
15,25,5,coast,south,715,Formalin,0,0,0,0,0,0,0,0,0,0,0,0.001398601,0,0,0,0,0,0,0,0,0,0,0,0,0.001398601,0,0
15,75,2,coast,south,489.5,Formalin,0,0,0,0,0,0.002042901,0,0,0,0,0,0.006128703,0.002042901,0,0,0,0,0,0,0,0,0,0,0,0.002042901,0.002042901,0.002042901
15,75,3,coast,south,500.9,Ethanol,0,0,0,0,0.001996406,0,0,0,0,0,0,0.003992813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001996406
15,75,3,coast,south,500.9,Formalin,0,0,0.001996406,0,0,0,0,0,0,0.001996406,0.005989219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007985626,0,0
16,25,4,coast,south,658.5,Formalin,0,0.004555809,0,0,0.001518603,0,0,0.001518603,0.001518603,0.001518603,0.001518603,0.001518603,0.003037206,0,0,0,0,0,0,0,0,0.007593014,0,0,0.004555809,0,0
16,25,5,coast,south,678.8,Ethanol,0,0,0,0,0,0.002946376,0,0,0,0,0.001473188,0.010312316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,5,coast,south,678.8,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001473188,0,0,0,0,0,0.002946376,0,0
16,75,2,coast,south,461.8,Formalin,0,0,0,0,0,0,0,0,0,0,0.00216544,0.008661758,0,0,0,0,0,0,0,0,0,0.00216544,0,0,0.00216544,0,0
16,75,3,coast,south,463.7,Ethanol,0,0.0064697,0,0,0.002156567,0.0064697,0,0,0,0,0.0064697,0.008626267,0,0,0,0,0,0,0,0,0,0,0,0,0.002156567,0,0
16,75,3,coast,south,463.7,Formalin,0,0.004313133,0,0,0,0,0,0,0,0,0.002156567,0,0,0,0,0,0,0,0,0,0,0.002156567,0,0,0,0,0
